Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-09-26T01:40:20.669 ,5,-0.0032072576346865514,-2.5401662735673356,FoVP,-0.15038025757412965,0.7231417256478244,2457657.5666719303
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-10-07T15:34:29.969 ,7,-0.004716075536788999,2.9348101029606104,FoVF,0.46766537161407845,0.7203519780663677,2457669.1468710336
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-10-07T19:48:09.937 ,2,0.001964624128409463,2.923882809544304,FoVP,0.47612129536481274,0.7166872941608855,2457669.323043179
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-10-07T21:34:44.200 ,2,0.004833641585425448,2.919330119544943,FoVF,0.4796445336204402,0.7151344444731462,2457669.3970572087
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2016-11-12T19:14:56.484 ,6,-0.004526317427785027,-2.0480444449426116,FoVP,-0.7081644995267725,0.7096583875522111,2457705.303436492
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2017-03-28T17:27:10.355 ,7,-0.003914857031676014,-0.058316528553073795,FoVF,0.33318352389983885,0.7063228358133237,2457841.231875713
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2017-03-28T21:40:50.369 ,1,0.0042625886242259586,-0.0484274049819429,FoVP,0.3266974814231447,0.7114919356813519,2457841.4080196884
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2017-04-14T15:46:12.725 ,1,0.003715211384170003,1.0490554621136279,FoVP,-0.601086682220835,0.7137886528978267,2457858.16032525
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2017-04-14T17:32:46.917 ,5,-5.607082263543148E-4,1.052252673692196,FoVF,-0.6037727409484038,0.7121710784757653,2457858.2343253144
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2017-05-18T09:18:07.004 ,1,0.004915567536099697,-0.4701540657471548,FoVP,0.6960533421551701,0.7175021235172729,2457891.88754147
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2017-10-03T22:06:47.140 ,1,0.0033834729959753827,-2.255527679554081,FoVP,-0.40063787899974973,0.718103331446602,2458030.4189922917
hd 81040,2.4599752119232074,0.35542674230220045,09:23:47.087,+20:21:52.028,2017-10-03T23:53:21.370 ,5,-2.486067363446099E-4,-2.2594806875425704,FoVF,-0.3982686641478878,0.7202604111542306,2458030.493005648
