Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2014-09-03T01:44:19.689 ,5,-0.0031713031036766193,-2.4630659663669805,FoVP,-0.7131982188168412,0.7237224332826977,2456903.5728594144
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2014-10-08T10:50:22.589 ,6,-0.004196851739244214,-2.9189701471257643,FoVP,-0.613866905871276,0.7141009585776315,2456938.9547577896
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-01-11T13:45:03.266 ,5,-0.0029786606389074935,0.21152900791335086,FoVP,0.26838617752755534,0.697910157660575,2457034.077713909
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-01-11T15:31:37.497 ,5,1.6408437195366372E-4,0.21610941039351514,FoVF,0.2643583213959276,0.6999670462264985,2457034.151717981
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-01-21T19:51:28.299 ,3,9.548332019807933E-5,0.9312000013945188,FoVP,-0.4155488525623907,0.7025269254521418,2457044.3316631406
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-01-21T21:38:02.533 ,7,-0.003328589246017861,0.9355644021898935,FoVF,-0.41970571603108214,0.700623893753566,2457044.405666406
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-03-01T08:40:06.050 ,7,-0.004292333248382177,-0.8820358176565413,FoVF,0.6992939041982168,0.7038349582389654,2457082.862752624
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-04-01T20:18:44.916 ,4,9.519341704608704E-4,0.2788228147476599,FoVF,-0.6343092254387174,0.7096272627207894,2457114.3454734287
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-04-25T02:22:13.856 ,7,-0.004519417494419905,-1.2836356904643331,FoVF,0.4087539773953557,0.7192291864373563,2457137.596390399
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-04-25T06:35:53.842 ,2,0.002619389616196967,-1.2940662051829501,FoVP,0.4136828471303019,0.7151232674122124,2457137.772538045
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-04-25T08:22:28.114 ,1,0.005633550884306692,-1.298437619974516,FoVF,0.415738969211976,0.7133934071216474,2457137.846541796
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-07-05T20:29:43.956 ,1,0.006785220574329781,-2.5269570310877625,FoVF,0.07766187053274425,0.7224744849685396,2457209.350787844
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-07-06T02:29:58.578 ,1,0.006234233794528666,-2.54451770646972,FoVF,0.08683487369642898,0.7229256390940351,2457209.600965593
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-07-06T08:30:13.171 ,1,0.005836969624270791,-2.5620824782253036,FoVF,0.09604998119820359,0.7232638701477004,2457209.8511430854
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-07-06T14:30:27.745 ,1,0.0055958719849705475,-2.579650071159598,FoVF,0.10530499205648396,0.7234879484272383,2457210.1013204292
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-07-06T20:30:42.310 ,1,0.005513398583212578,-2.597219143378121,FoVF,0.11459762299611277,0.7235967113608883,2457210.351497733
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-07-07T02:30:56.874 ,1,0.005592019241812798,-2.6147882857400475,FoVF,0.12392551326259843,0.7235890678943677,2457210.601675109
HD 29021,1.2124381523448602,1.0589994574756743,04:37:52.221,+60:40:34.318,2015-07-07T08:31:11.448 ,1,0.005834214178555697,-2.632356021386962,FoVF,0.13328622979492727,0.723464003394285,2457210.8518526703
