Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
hd 171238,4.863918172827525,-0.4899543278504531,18:34:43.676,-28:04:20.335,2014-09-12T17:02:03.521 ,1,0.004728673174782587,-0.8183337727946863,FoVP,0.6450812263884139,0.7218930461931585,2456913.2125812992
hd 171238,4.863918172827525,-0.4899543278504531,18:34:43.676,-28:04:20.335,2014-10-16T20:15:58.394 ,4,-2.776988827029608E-4,-0.783860265713217,FoVP,0.6599099482450344,0.7134860815785286,2456947.3438731036
hd 171238,4.863918172827525,-0.4899543278504531,18:34:43.676,-28:04:20.335,2014-10-16T22:02:32.617 ,2,0.004888754377894632,-0.7854574335844174,FoVF,0.6608934941994986,0.7120847669621188,2456947.4178731656
hd 171238,4.863918172827525,-0.4899543278504531,18:34:43.676,-28:04:20.335,2015-02-28T05:01:12.610 ,1,0.006440277236938711,-2.606419421571446,FoVF,-0.5233025018141018,0.7009795412412682,2457081.7074071695
hd 171238,4.863918172827525,-0.4899543278504531,18:34:43.676,-28:04:20.335,2015-02-28T09:14:52.654 ,6,-0.004392733721229092,-2.613668440465286,FoVP,-0.5188483619439589,0.7061460225943839,2457081.883580615
hd 171238,4.863918172827525,-0.4899543278504531,18:34:43.676,-28:04:20.335,2015-03-23T15:09:35.483 ,7,-0.007046013957908969,2.2932364875829996,FoVP,0.7031898784463175,0.708965076742721,2457105.1321294955
hd 171238,4.863918172827525,-0.4899543278504531,18:34:43.676,-28:04:20.335,2015-03-23T16:56:09.682 ,6,-0.0016867127569677046,2.292508909101354,FoVF,0.7038638761889916,0.7084732612241917,2457105.2061438365
hd 171238,4.863918172827525,-0.4899543278504531,18:34:43.676,-28:04:20.335,2015-04-20T10:42:22.575 ,3,0.002332385880224386,-2.4659929777497567,FoVF,-0.6033924005660184,0.715440604954793,2457132.949302043
hd 171238,4.863918172827525,-0.4899543278504531,18:34:43.676,-28:04:20.335,2015-09-05T09:42:40.217 ,4,-0.0012398957186471801,-0.7744028660917825,FoVP,0.5757122046684028,0.7220179191857095,2457270.90815666
hd 171238,4.863918172827525,-0.4899543278504531,18:34:43.676,-28:04:20.335,2015-09-05T11:29:14.417 ,3,0.003247156514137057,-0.7716115037369811,FoVF,0.5741175464370765,0.7239615981317404,2457270.982156908
