Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2014-09-11T05:05:18.709 ,7,-0.006105255120846343,-0.7882002031599954,FoVP,0.6864803780723996,0.71956928060428,2456911.7142946324
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2014-09-11T06:51:52.938 ,5,-0.001007382969625001,-0.7867592369542324,FoVF,0.6856910790455225,0.7206631114707379,2456911.788294704
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2014-10-15T08:18:51.178 ,7,-0.006576320958500387,-0.679293615366929,FoVP,0.6124085590954365,0.7162365290271449,2456945.845343409
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2014-10-15T10:05:25.357 ,6,-0.0016478106840672052,-0.6815078127416612,FoVF,0.613762601532179,0.7144321176715903,2456945.919343203
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2015-02-26T17:04:04.892 ,1,0.006798610675459738,-2.4860112509948307,FoVF,-0.5892834266659687,0.7013338271566695,2457080.2098958595
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2015-02-26T21:17:44.931 ,6,-0.004877985556422921,-2.4918252023146934,FoVP,-0.585746841773162,0.7058974306134989,2457080.3860699926
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2015-03-24T21:06:01.648 ,6,-0.00529870259434808,2.356443077608065,FoVP,0.708290193354939,0.7082704259374583,2457106.380483739
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2015-03-24T22:52:35.863 ,5,7.61543612554665E-5,2.3570095286361123,FoVF,0.7079274709980945,0.7085567110221607,2457106.4544982975
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2015-04-18T22:45:43.750 ,2,0.005153466426918671,-2.4572503741986593,FoVF,-0.5357457054277492,0.7164108701462172,2457131.4521359047
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2015-04-19T02:59:23.770 ,6,-0.0052230985748987655,-2.4499606682141515,FoVP,-0.539884894025381,0.7115788088451495,2457131.628309223
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2015-09-03T21:45:43.751 ,5,-0.0020492022194825875,-0.7595193666459407,FoVP,0.6348328834604506,0.7220686106385228,2457269.409756214
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2015-09-03T23:32:17.958 ,3,0.002741839356781681,-0.7572988662114205,FoVF,0.6335910839175629,0.7237084579142975,2457269.483756286
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2015-10-02T23:15:32.346 ,1,0.0054490402766653,0.78335772602142,FoVF,-0.7024086495014483,0.7154466457071197,2457298.469262041
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2015-10-03T03:29:12.357 ,7,-0.006987240405278736,0.7804684689526769,FoVP,-0.6997903839094871,0.7173048219963335,2457298.6454021535
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2015-10-25T09:26:42.013 ,4,-4.1051546773889495E-4,-0.5585808101267592,FoVP,0.493748934242056,0.7124365820785832,2457320.891583268
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2015-10-25T11:13:16.243 ,2,0.003937596841699708,-0.5618380152504887,FoVF,0.4957969476710603,0.7101926654377921,2457320.9655842166
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2016-03-08T00:12:57.766 ,2,0.004024883303312354,-2.4076222679273087,FoVF,-0.6694166835061061,0.7048884035845724,2457455.50869617
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2016-04-08T04:03:14.646 ,1,0.004345889439095219,2.433031029212917,FoVP,0.6409314390149301,0.7122588333618386,2457486.671709688
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2016-04-27T16:06:53.038 ,1,0.0037868027123198547,-2.5961193622748855,FoVP,-0.3762504229182231,0.7167128463601734,2457506.17596916
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2016-04-27T17:53:27.219 ,4,3.0161700737734955E-4,-2.59212545695123,FoVF,-0.37863468079668816,0.7146115095156815,2457506.249981824
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2016-09-13T16:55:45.375 ,3,9.08791269039505E-4,-0.791538821193258,FoVP,0.69990960935902,0.72113280686214,2457645.2073556655
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2016-09-13T18:42:19.571 ,1,0.006089707078595059,-0.7903799596233343,FoVF,0.6993022261737675,0.7220007642046863,2457645.281355262
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2016-10-17T04:26:02.485 ,1,0.004462967131569376,0.7289015075462977,FoVP,-0.5946618031779222,0.711707493652876,2457678.6834439444
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2016-11-02T10:31:53.954 ,2,0.0016975079364933412,-0.3525804820572763,FoVP,0.31777551422487427,0.7093659773916338,2457694.9361355426
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2016-11-02T12:18:28.213 ,2,0.0051059151199171985,-0.35684383763704636,FoVF,0.3205967812911527,0.7071844487490879,2457695.0101375063
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2017-03-18T14:45:11.528 ,4,2.3382443607402806E-4,-2.3669895829493934,FoVF,-0.7060856827407356,0.7084851811632401,2457831.115448717
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2017-04-24T12:25:12.059 ,6,-0.004847617807460723,2.6295391665524614,FoVP,0.4523779404411754,0.7116639564061348,2457868.0217469255
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2017-04-24T14:11:46.325 ,6,-0.0022668908641769207,2.6341803517929523,FoVF,0.4488151832250172,0.7131049380131892,2457868.095760819
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2017-04-24T18:25:26.317 ,1,0.0037299420475727305,2.6453062873229456,FoVP,0.4402730635945652,0.7164937595978145,2457868.2719328166
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2017-04-24T20:12:00.446 ,1,0.006187770267956974,2.650012810198573,FoVF,0.43665851396838146,0.7178993325135447,2457868.3459451054
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2017-05-05T08:19:26.147 ,1,0.006827682419259996,-2.9035432059709083,FoVF,-0.11420002007689257,0.7207880127129512,2457878.8519208427
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2017-05-05T12:33:05.988 ,2,0.0020531386677807083,-2.8919152576077716,FoVP,-0.12186231544110189,0.71744646080713,2457879.028089074
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2017-05-05T14:19:40.180 ,5,1.4767647405040631E-5,-2.8870439409168234,FoVF,-0.1250534282826974,0.7160183465595784,2457879.102101234
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2017-05-05T18:33:20.297 ,6,-0.00491308310097912,-2.8754816139859036,FoVP,-0.13258276181769835,0.7125624625114346,2457879.2782725967
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2017-08-07T19:55:23.987 ,7,-0.00703937408843398,-0.1782528677298295,FoVP,0.0602245506074011,0.7199627014967955,2457973.3353427197
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2017-08-08T01:55:38.468 ,4,-0.001704176660021427,-0.161415751231657,FoVP,0.04882275590459021,0.7238247766980036,2457973.5854928037
HD 164604,4.7259831420597616,-0.49847746435631907,18:03:06.933,-28:33:38.358,2017-08-08T03:42:12.694 ,5,-1.727539696550676E-4,-0.15641993851861746,FoVF,0.045417350374419775,0.7249310300557955,2457973.6594948466
