Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-05T04:38:50.752 ,6,-0.002951061611593233,-3.0427508317303893,FoVF,0.059726431315690116,0.7082020107886212,2457117.698753509
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-04-05T08:52:30.944 ,6,-0.004984908814201814,-3.0301330061949656,FoVP,0.050501971080445254,0.7067778556301176,2457117.874925851
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-07-11T04:31:31.926 ,2,0.0016383055450484758,-0.09378207608516152,FoVP,0.2529904348503617,0.7294026135618393,2457214.6934939437
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-07-11T06:18:06.090 ,2,0.004431873648427479,-0.08939814380502259,FoVF,0.250011124775864,0.7313092235515937,2457214.767495009
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-07-25T22:39:07.000 ,2,0.002148943687581365,0.8751102435063643,FoVP,-0.5501628351809087,0.7287446148020639,2457229.4475639947
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-07-26T00:25:41.204 ,5,-0.0013866834100347096,0.8789336094690972,FoVF,-0.5533286002556013,0.7270651587665068,2457229.5215644953
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2015-08-30T16:08:11.396 ,2,0.002649607513312366,-0.5701567433319574,FoVP,0.7124022827925798,0.7230057390142768,2457265.1726537626
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2016-01-12T16:59:11.230 ,3,6.228297528905381E-4,-2.4519518699589065,FoVP,-0.34196173727476864,0.6987218190495783,2457400.205207881
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2016-01-12T18:45:45.423 ,6,-0.0029078207014989216,-2.4562398777724908,FoVF,-0.33935794316781653,0.7008877544444665,2457400.2792206425
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2016-01-30T05:03:33.289 ,4,-0.0015810488084964712,2.6493816859602792,FoVP,0.6093711560536605,0.7018075021842761,2457417.7097828994
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2016-01-30T06:50:07.506 ,3,0.002966647099342268,2.6462220878623497,FoVF,0.6118626952955303,0.7002525631882157,2457417.783797081
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2016-03-01T16:37:03.686 ,5,-0.00214668134444281,-2.1700615087116817,FoVP,-0.6773561499807784,0.7058324081332737,2457449.1945325485
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2016-07-18T23:36:17.203 ,7,-0.006876817889186607,-0.3381784435576688,FoVP,0.4640569146461925,0.7222279229137267,2457588.487789031
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2016-07-19T01:22:51.471 ,6,-0.002967425767400577,-0.3347457204292815,FoVF,0.4618956932858949,0.724423484266741,2457588.561790654
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2016-08-09T23:37:14.073 ,2,0.0019065278945804382,0.9795915776042742,FoVP,-0.6904122844989327,0.725195961018452,2457610.4864512105
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2016-08-10T01:23:48.286 ,6,-0.003006938338981509,0.981379453516499,FoVF,-0.6919186612937728,0.7241182613361219,2457610.5604511243
HD 141937,4.155159756324477,-0.32176984075747694,15:52:17.548,-18:26:09.794,2016-09-09T11:18:12.064 ,2,0.0020538320262428597,-0.5361834831137804,FoVP,0.6548680012840393,0.7200456759871088,2457640.970237757
