Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 22781,0.9635326182689384,0.5554735727564912,03:40:49.525,+31:49:34.649,2014-09-04T20:15:26.407 ,4,-3.1390197962521716E-4,-2.6534798357228877,FoVP,-0.6920451070144944,0.7227946371177493,2456905.346204346
HD 22781,0.9635326182689384,0.5554735727564912,03:40:49.525,+31:49:34.649,2014-10-06T01:04:01.597 ,3,0.0021588478340498563,3.07044892010183,FoVF,-0.2588708181190073,0.7176215921842053,2456936.54928785
HD 22781,0.9635326182689384,0.5554735727564912,03:40:49.525,+31:49:34.649,2014-10-06T05:17:41.671 ,6,-0.005170101116517009,3.080933904821717,FoVP,-0.26647880700579657,0.7127140403043334,2456936.7254587635
HD 22781,0.9635326182689384,0.5554735727564912,03:40:49.525,+31:49:34.649,2015-01-06T19:12:03.107 ,4,-0.0013752520971680787,-0.28739361781949874,FoVP,0.18228051914538,0.69858294452032,2457029.3049604343
HD 22781,0.9635326182689384,0.5554735727564912,03:40:49.525,+31:49:34.649,2015-01-06T20:58:37.318 ,4,0.0012716225590253152,-0.28250816008468493,FoVF,0.1787163645176625,0.7003845305297004,2457029.378962244
HD 22781,0.9635326182689384,0.5554735727564912,03:40:49.525,+31:49:34.649,2015-01-17T09:05:24.174 ,2,0.0037737106959183655,0.4692643525685305,FoVF,-0.4458103543136081,0.7031740391355964,2457039.8828621735
HD 22781,0.9635326182689384,0.5554735727564912,03:40:49.525,+31:49:34.649,2015-02-22T12:38:48.698 ,3,3.397380386609009E-4,-1.0291820416457573,FoVP,0.702538246445825,0.7041078213163562,2457076.0276634917
HD 22781,0.9635326182689384,0.5554735727564912,03:40:49.525,+31:49:34.649,2015-02-22T14:25:22.914 ,1,0.005797810277130723,-1.029781250609156,FoVF,0.7027446513952422,0.7038433060056526,2457076.101663282
HD 22781,0.9635326182689384,0.5554735727564912,03:40:49.525,+31:49:34.649,2015-07-08T15:02:46.199 ,2,0.004751811009898376,-2.9115179301840475,FoVF,-0.19868749140138464,0.724476990316161,2457212.1238767933
HD 22781,0.9635326182689384,0.5554735727564912,03:40:49.525,+31:49:34.649,2015-07-08T19:16:26.296 ,4,-7.116588938105149E-4,-2.9226182345924747,FoVP,-0.1919428601331359,0.728325932898486,2457212.300047474
