Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2014-08-03T17:09:45.240 ,6,-0.00455631309233977,0.409166803215857,FoVP,0.08580826966289415,0.730968806820378,2456873.21195418
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2014-08-03T18:56:19.451 ,7,-0.0033284692163995763,0.40931239638306016,FoVF,0.08580326640426256,0.7300837034341949,2456873.2859561467
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2014-08-03T23:09:59.473 ,4,-4.057579288286125E-4,0.4096589565443955,FoVP,0.08579238507586737,0.7279724144860533,2456873.462101669
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2014-08-04T00:56:33.683 ,4,8.221675180570136E-4,0.40980455703862484,FoVF,0.08578824545455076,0.7270835388155616,2456873.536103633
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2014-08-04T05:10:13.700 ,1,0.0037450733833175914,0.410151140701806,FoVP,0.08577941992897661,0.7249632893788408,2456873.71224915
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2014-08-04T06:56:47.907 ,2,0.004973080750282005,0.41029675361652995,FoVF,0.08577614405695115,0.7240706570755338,2456873.7862511114
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2014-11-05T06:43:28.249 ,1,0.00619317738360838,-2.588510696563935,FoVF,-0.18436003847343688,0.7039880687492979,2456966.777200228
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2014-11-05T10:57:08.392 ,3,5.2347789347189566E-5,-2.5999781871464265,FoVP,-0.17629071988174738,0.7081736279820932,2456966.953372289
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2014-11-05T12:43:42.581 ,6,-0.002489875813531977,-2.6048161837580888,FoVF,-0.17286631351605813,0.7099059590545548,2456967.0273845824
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2014-11-16T12:50:45.408 ,7,-0.004131550164650086,2.900141195419068,FoVF,0.46000588918536045,0.7090065912266769,2456978.033160129
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2014-11-16T17:04:25.410 ,2,0.0032132387236244713,2.889321091036285,FoVP,0.46888598876705456,0.7050817393610469,2456978.209332678
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2014-11-16T18:50:59.694 ,1,0.006366785938261604,2.884821583783396,FoVF,0.4725813882100983,0.7034200623745799,2456978.2833469515
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2014-12-22T06:13:08.063 ,5,-9.579386551169484E-6,-1.940890658910825,FoVF,-0.7005681394770131,0.7012254617737697,2457013.7604748975
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2015-05-05T05:09:48.241 ,5,-0.0031027826397711017,-0.027336269194061662,FoVP,0.2479108945583891,0.7190084103938006,2457147.7200277965
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2015-05-05T06:56:22.477 ,5,-3.879587161685579E-4,-0.02280442675046191,FoVF,0.24511528490125373,0.7208653264973551,2457147.794029808
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2015-05-20T13:04:06.802 ,2,0.0038644424507856593,0.9978974576490608,FoVF,-0.5490971994338408,0.7261120907356816,2457163.048182046
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2015-05-20T17:17:46.830 ,6,-0.004413855351131315,1.0072482605676796,FoVP,-0.5563939863446552,0.7222940702229999,2457163.224324464
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2015-06-24T22:49:02.071 ,7,-0.007065981206185418,-0.354537894046662,FoVP,0.7173015343587955,0.7257764165587787,2457198.4510233332
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2015-06-25T00:35:36.272 ,6,-0.0018969629338149308,-0.3551073764397607,FoVF,0.7177066745397911,0.7251640259914348,2457198.5250231083
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2015-11-13T11:59:31.112 ,6,-0.0039355375426425076,-2.3038440586348514,FoVP,-0.4008796515665941,0.7111083706164009,2457339.9973122724
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2015-12-02T00:01:50.685 ,7,-0.005984540735253963,2.779119287679292,FoVP,0.6399646223978515,0.7085305095535753,2457358.5005984525
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2015-12-02T01:48:24.864 ,5,-0.0010671849881613864,2.7765977626204625,FoVF,0.6421003614716719,0.7070777363660421,2457358.5746123064
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2016-01-01T13:22:47.763 ,2,0.005344042673511606,-1.9496670784256973,FoVF,-0.6622417115108914,0.7038675285541054,2457389.059859938
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2016-05-13T06:15:56.006 ,2,0.0015974966685680765,-0.22713880377063933,FoVP,0.45183778608779324,0.7210413053906662,2457521.7652914105
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2016-06-04T18:16:24.900 ,3,-8.870554141222398E-5,1.147612172871836,FoVP,-0.6903864339154194,0.7243765803653546,2457544.2636135337
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2016-06-04T20:02:59.125 ,7,-0.0049535457123959774,1.1495019149349996,FoVF,-0.6918374385609646,0.7233703555940221,2457544.3376137055
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2016-07-04T23:58:56.458 ,4,-2.4288880305717517E-4,-0.294841290352629,FoVP,0.6632358619567579,0.7236888293358432,2457574.4985594493
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2016-07-05T01:45:30.680 ,2,0.004691985544948696,-0.29647289572667723,FoVF,0.6642928537545054,0.7222357361161706,2457574.5725597334
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2016-11-21T19:05:38.630 ,2,0.0015442477390333292,-2.129676005018333,FoVP,-0.5520126732336674,0.7081801840135379,2457714.2940208446
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2016-11-21T20:52:12.832 ,6,-0.0031859953337588323,-2.1324962142851467,FoVF,-0.5502248587139926,0.710279786282994,2457714.3680345
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2017-01-10T18:45:39.821 ,3,7.178136963227369E-4,-1.9936328680236726,FoVP,-0.5794125070194568,0.7052423840583741,2457764.2850414743
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2017-01-10T20:32:14.047 ,7,-0.0040639630836051925,-1.9908056956249713,FoVF,-0.580945852355582,0.703305939010278,2457764.3590555503
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2017-05-23T08:47:02.367 ,6,-0.004483632971676366,-0.33189403083453317,FoVP,0.5919898820507644,0.7176210744068702,2457896.8694120566
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2017-05-23T10:33:36.597 ,5,3.0473209200435713E-5,-0.3292322408043716,FoVF,0.5905300325439878,0.7194929932020624,2457896.9434127645
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2017-06-20T04:22:35.814 ,2,0.004689927587979173,1.1995228114564855,FoVF,-0.7204367057131785,0.7234180714984623,2457924.6831289874
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2017-07-15T14:30:09.565 ,3,7.26459254705198E-5,-0.19097877640257646,FoVP,0.5617157550400138,0.7217925648748634,2457950.102660867
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2017-07-15T16:16:43.796 ,2,0.004541303082049423,-0.1936385808468589,FoVF,0.5634230591237568,0.7197510417066709,2457950.1766617065
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2017-12-01T21:36:23.490 ,6,-0.005339930674688054,-2.028644957914234,FoVP,-0.6477234793857672,0.7101076729460045,2458089.3996536033
HD 100777,3.0362564359610253,-0.0830025321309074,11:35:51.523,-04:45:20.501,2017-12-30T03:16:56.813 ,7,-0.006712056955913411,2.811197234565667,FoVP,0.6764919079701719,0.7070636872822922,2458117.6389697837
