2450830.93428     87.33   1.51
2451035.14701     77.67   1.47
2451385.33464     77.82   4.12
2451386.30035     73.45   1.57
2451473.07836     79.77   1.73
2451683.32715     78.34   1.64
2451743.26373     70.50   2.19
2451767.24684     72.45   1.73
2451768.24574     77.32   1.86
2451918.91746     64.36   1.72
2452061.32554     80.35   2.12
2452093.25698     73.70   5.12
2452128.20309     64.64   1.70
2452151.23072     73.34   1.74
2452152.07449     66.05   1.83
2452154.13372     69.13   1.53
2452188.08919     69.19   1.91
2452188.99071     59.31   2.30
2452454.34333     56.70   1.75
2452593.97049     61.07   1.93
2452594.98583     59.64   2.00
2452857.21250     48.11   1.89
2452945.08093     53.25   2.09
2453045.91142     42.28   2.31
2453215.27020     42.05   1.16
2453244.21581     47.53   1.81
2453246.08874     50.49   1.72
2453522.33546     35.01   1.40
2453626.16478     35.27   4.16
2453628.16799     33.10   1.26
2453631.11015     26.38   2.28
2453632.13299     32.27   0.82
2453671.12950     29.90   2.00
2453703.00228     29.19   0.84
2453943.30216     22.46   0.68
2454011.04769     22.03   0.92
2454254.24431     20.88   1.10
2454337.04298     18.97   1.18
2454780.05909      1.98   0.86
2455020.29945     -3.79   1.14
2455021.23310     -6.18   1.17
2455022.27834     -5.99   1.05
2455023.30175     -8.72   1.29
2455024.26129     -7.72   1.03
2455029.29048     -4.80   1.33
2455030.24461     -2.37   1.04
2455031.34835     -4.25   0.90
2455032.18215     -7.19   1.07
2455033.22906     -9.13   1.04
2455035.27813     -3.35   1.34
2455036.31230     -4.48   0.98
2455037.24029     -3.75   0.88
2455044.29444     -4.42   1.10
2455045.27149     -6.18   1.56
2455046.23580     -8.07   0.88
2455047.26318     -5.43   0.89
2455048.19593     -4.07   0.87
2455049.23227     -5.69   0.96
2455050.26065     -6.49   0.93
2455051.25837     -8.32   1.17
2455052.23875     -9.16   0.98
2455053.19937     -2.78   0.94
2455055.26950     -1.77   0.97
2455056.28776     -0.52   0.94
2455058.27678     -0.91   0.87
2455059.30669      0.11   1.04
2455077.11781     -6.59   1.51
2455107.08899     -7.89   1.48
2455172.03424     -7.72   1.24
2455519.98362     -3.04   1.33
2455751.29886    -17.36   2.03
2455757.22238     -2.93   1.43
2455845.00259      0.99   1.41
2455877.02068     -5.36   1.52
2455898.92982     -1.42   1.30
2456086.27664     -4.75   1.14
2456135.28568     -8.31   1.16
2456465.30669     -0.29   1.48
2456498.23663      2.45   1.27
2456556.07186      5.31   1.83
2456748.30595      6.32   1.25
2456791.33220      1.60   1.32
2456934.12663      6.38   1.37
2456940.07945     15.77   1.32
2457052.92727     11.81   1.30
2457233.20724     15.80   1.10
2457289.13559     20.00   1.34
2457345.99358     26.51   2.03
