2451002.13555    -23.35   1.81
2451120.92781    -23.57   1.60
2451387.27272    -17.85   1.58
2451411.06941    -14.90   1.67
2451412.99499    -16.58   1.95
2451683.17377    -17.48   1.70
2451743.05395    -15.25   1.63
2451743.94233    -19.14   2.04
2451767.01428    -23.26   1.73
2451855.95580    -30.85   2.54
2451984.30921    -17.44   1.76
2452061.21844    -18.93   1.81
2452092.06633    -12.27   1.65
2452127.08280    -18.70   1.95
2452153.03859     -6.46   1.16
2452188.90092    -13.10   1.47
2452360.28696    -15.10   1.61
2452387.29588    -16.91   1.45
2452388.24316    -17.19   1.54
2452421.22396    -10.84   1.57
2452423.16185    -13.74   1.46
2452425.28274    -12.72   1.53
2452453.15059    -14.84   1.64
2452456.17200    -11.75   1.63
2452477.11269    -14.80   1.64
2452510.01187    -10.40   1.31
2452510.95883     -5.73   1.57
2452591.93961    -17.32   1.51
2452711.29980     -9.28   2.26
2452712.30630     -5.64   1.08
2452745.29738    -18.80   1.58
2452748.24287    -15.21   1.67
2452750.28317    -16.40   1.61
2452751.27971    -11.40   1.62
2452752.23814    -14.40   1.60
2452784.22289     -2.30   1.56
2452785.20454     -4.42   2.06
2452786.17892     -3.93   2.00
2452857.16545    -12.77   2.11
2452861.04866    -12.64   1.61
2453214.14587     -1.92   2.04
2453215.13502     -4.32   1.46
2453242.99954     -4.27   1.60
2453245.08170     -1.82   1.78
2453282.99215     -6.37   1.57
2453484.31936     -8.01   0.75
2453487.26471     -5.89   0.80
2453507.23851     -2.62   0.81
2453508.27559     -1.10   0.90
2453516.21084     -0.94   0.91
2453517.21916     -3.59   1.05
2453519.14531     -3.81   0.82
2453520.28479     -7.62   1.09
2453521.26450     -7.67   0.92
2453522.16269     -5.85   0.92
2453523.21009     -4.01   0.95
2453569.13463     -3.19   0.86
2453570.09667     -4.60   0.76
2453571.13882     -8.47   0.87
2453572.16709     -9.12   0.83
2453573.06853     -6.06   0.82
2453574.09233     -5.65   0.77
2453576.05422     -3.52   0.74
2453577.06377     -2.07   0.73
2453579.01158     -1.92   0.81
2453626.09060     -5.85   1.34
2453628.01068     -5.11   1.01
2453629.01036     -2.11   0.93
2453631.97045     -3.89   0.78
2453664.91675      3.10   0.77
2453665.97034      0.63   0.79
2453667.96298      1.43   0.79
2453668.95032     -1.54   0.84
2453669.96683      1.07   0.88
2453670.95319     -0.74   0.97
2453701.91240     -7.47   0.91
2453842.31155     -7.29   0.80
2453843.31060     -7.81   0.86
2453938.18452     -2.33   0.85
2453942.06369     -1.43   0.76
2453944.16734     -2.08   0.93
2453947.08988     -4.22   0.80
2454007.98929     -7.15   0.71
2454008.98677     -7.84   0.72
2454009.96531     -9.40   0.69
2454010.96301     -7.95   0.71
2454011.95845     -9.04   0.78
2454012.92193     -6.02   0.69
2454014.97570     -4.96   0.93
2454016.03258     -1.75   0.77
2454016.96236     -4.43   0.86
2454017.93507     -2.83   0.83
2454036.93101      0.74   0.64
2454037.97600      2.90   0.93
2454040.91129     -1.42   0.70
2454221.26612     -4.33   0.97
2454223.31869     -4.89   1.54
2454224.30702     -5.54   1.03
2454225.31165     -3.66   1.14
2454226.31659     -1.85   0.83
2454253.19911      3.82   0.82
2454254.16205      6.56   1.03
2454255.09600      3.08   1.09
2454256.08878      7.39   1.11
2454257.10407      8.35   1.16
2454334.03124     -0.51   1.12
2454336.07479      3.13   1.01
