2450915.18178   -347.97   2.18
2451002.04574   -447.95   3.01
2451382.97383   -534.01   1.90
2451630.27976   -375.74   1.96
2451683.04691   -330.05   2.08
2451718.09632   -310.81   2.20
2451742.99728   -287.74   2.13
2451766.89725   -269.08   1.84
2451984.22396    -79.44   2.32
2452060.98194      0.00   1.96
2452091.94491     35.12   2.07
2452126.92735     56.74   2.44
2452711.31479    544.44   2.99
2452748.21470    564.79   2.71
2455669.19403   1646.13   1.84
2456088.20721   1610.50   2.57
2456765.20219   1102.99   1.23
